,importance
0,0.047087144722849
1,0.06796257695876652
2,0.0355524151976317
3,0.02663807014435691
4,0.028875557406033647
5,0.018681198282072976
6,0.022031584904361714
7,0.033522867838453194
8,0.01523097156622722
9,0.020361471739474207
10,0.012138206258974573
11,0.019709639498282153
12,0.012499659568159398
13,0.009674027950561638
14,0.013363015321682901
15,0.01181582526623809
16,0.011533544974551032
17,0.007784274305095671
18,0.006337907239957408
19,0.004941660701087357
20,0.006521781771426646
21,0.004827936656501743
22,0.005222166602587933
23,0.005576541340046378
24,0.008334996447474407
25,0.005476369981337167
26,0.007145813395453392
27,0.006793569534700525
28,0.004602442269099514
29,0.004394125550060695
30,0.005239260624849929
31,0.004187743452126627
32,0.006078426728561234
33,0.004319504286296394
34,0.005368012802550507
35,0.0042609883274561545
36,0.005447206317858554
37,0.00403818353559399
38,0.0036248795130596916
39,0.00395947716396891
40,0.0033216505676952786
41,0.0037394408980016658
42,0.0024607274718167218
43,0.0031960146779155276
44,0.0033581072640019183
45,0.003386506989010314
46,0.003450342044202762
47,0.003139301522747432
48,0.002675489418330349
49,0.002372257474787273
50,0.0025946836237684314
51,0.002641972864098817
52,0.0027615122874068937
53,0.002747279325635058
54,0.002802764539044513
55,0.002382253361228412
56,0.0032074940913471113
57,0.003103045619432312
58,0.0024759708143887696
59,0.0030134749411606593
60,0.0023315546866239096
61,0.002375027688440893
62,0.0024901872449227384
63,0.0028871723926641797
64,0.0021728008740641803
65,0.002071714736233107
66,0.002100670173319257
67,0.002291855606928001
68,0.0023360682742168412
69,0.002010991342872675
70,0.002521760212027338
71,0.0018812852665500417
72,0.0019530704797955964
73,0.001997797890258958
74,0.0019223167082112894
75,0.0027687603056509337
76,0.003007009460213888
77,0.001756852981171349
78,0.0018623603119355995
79,0.001871338018389549
80,0.0019025119608558744
81,0.0018363195909228591
82,0.0017451417970931033
83,0.0018901319818301317
84,0.0018545354683640297
85,0.0019206634248669049
86,0.0018830840857343093
87,0.001883416352374905
88,0.001969407540538902
89,0.0022947288302677753
90,0.001781710344018621
91,0.0015938070580043967
92,0.0015182362345414725
93,0.0019433350505064172
94,0.0019123922211511768
95,0.0018190468900046467
96,0.0015688836128426751
97,0.001595090840328132
98,0.0021723146086652114
99,0.0018322571441214276
100,0.0016561556084150786
101,0.001641760292118881
102,0.0016191608318213188
103,0.0021288053177578956
104,0.0016633771941624341
105,0.0020450742690906343
106,0.0016742196083682228
107,0.0019138714555450517
108,0.0017884575080999682
109,0.0015099103169450242
110,0.0015794359849552531
111,0.0015774120028703815
112,0.0016738137949680637
113,0.001792169076458243
114,0.001464926098922907
115,0.001588716624288342
116,0.0018029618778576217
117,0.0013863191301670356
118,0.0014368859442249577
119,0.0015853178011811702
120,0.0023263529929010438
121,0.0013725970031318899
122,0.0016044386925065613
123,0.0014803025188100335
124,0.001679029196166259
125,0.0015240291029563486
126,0.0015178748407383607
127,0.0016126873079249132
128,0.0014823395376529558
129,0.001730998401652116
130,0.001461111301738388
131,0.001548166536727779
132,0.0014564159411361976
133,0.0013975944020465658
134,0.0017825259104961122
135,0.001569298141195402
136,0.001507953298066563
137,0.00155120900577739
138,0.0014237907152253942
139,0.001673475886507775
140,0.001461905207539275
141,0.0013108272904211304
142,0.0015090297555131497
143,0.00143505318670515
144,0.0013416310193350154
145,0.0015066301884176427
146,0.0013920194936459555
147,0.0014202589323280555
148,0.0014322018662872133
149,0.001437646809855108
150,0.0018560600381294834
151,0.0013709449093970802
152,0.0014328117232794391
153,0.0015632547392297003
154,0.0014989725788991063
155,0.0013962722241639936
156,0.001415923048238995
157,0.0012642229466364157
158,0.00134805637813203
159,0.001386732792806714
160,0.0013557860629201438
161,0.0014019068033099258
162,0.0013685328433563479
163,0.0013729097596807966
164,0.0013677421362304465
165,0.0014069286641675066
166,0.0013684798592117533
167,0.0014370424423465309
168,0.001658901625209907
169,0.0014798945131421618
170,0.0013545460330039512
171,0.0013006552674517061
172,0.0013333183486543612
173,0.0013453101465778516
174,0.0012821003990644243
175,0.0013656912910219635
176,0.0014699485855367144
177,0.0013016899542671668
178,0.0013805410227425404
179,0.001490662382393771
180,0.0012704372179805146
181,0.0013556895825437704
182,0.0013343483354672182
183,0.0013057213034860119
184,0.0013390290183162559
185,0.0012895930026961724
186,0.0013314269785662297
187,0.0012767594245028135
188,0.001597769684807996
189,0.0013981159260574888
190,0.001283097300211419
191,0.0012595541431675251
192,0.001381579961450868
193,0.0012549483595476157
194,0.0013075215426379472
195,0.0013884055737436408
196,0.0013613617519710778
197,0.0017120542148303423
198,0.0012995002726760888
199,0.0012431929169145614
200,0.0014686200934086932
201,0.001268065763391568
202,0.001239380007999426
203,0.0013982007742930882
204,0.0013320204289054983
205,0.0012832049331135608
206,0.0014504002149433285
207,0.0012815593436217637
208,0.0013213067574298354
209,0.0012383708195481335
210,0.0012801116688622486
211,0.0012425983911113307
212,0.0012359063430780087
213,0.001602058376826617
214,0.0013013878428299842
215,0.0012358605196643928
216,0.001267167321758294
217,0.0012994240655224462
218,0.001298072469275572
219,0.001276602301869447
220,0.0012825155717586642
221,0.0012604812408494581
222,0.0013153703746100343
223,0.001262277480938851
224,0.001249271899022228
225,0.0013104646755919388
226,0.0013184263839568838
227,0.0012477700963087653
228,0.0012319923939788687
229,0.0013346745135744595
230,0.0012850264725906705
231,0.0012754979912992879
232,0.001282507479644121
233,0.0013123258599580633
234,0.0012830831254398531
235,0.0013629620843592484
236,0.0012526561551109258
237,0.0012620342549755283
238,0.0012353623487332752
239,0.001267024255258517
240,0.0012984272802540155
241,0.0012513642834916141
242,0.0013310041066105427
243,0.0013149551145709463
244,0.001421929964533157
245,0.0011664511590403679
246,0.0013546841946359663
247,0.0012046631195066545
248,0.0011925023557734107
249,0.0012371435616616848
250,0.001274302696089324
251,0.0012450236848998313
252,0.001282962229507837
253,0.0012813147585280288
254,0.0013598544593025868
255,0.0013240516087319415
256,0.0011639430173649998
257,0.001214084469293826
258,0.0012644284678247604
259,0.001199439036211588
260,0.0012159921692898568
261,0.0012280882669255064
262,0.0013972984795573788
263,0.0012127296494747154
264,0.0012716355769077023
265,0.0013954296370781883
266,0.0012483058373537678
267,0.001253420757860453
268,0.001187702463182426
269,0.0012930384592005943
270,0.0013032215698551958
271,0.001217309225421428
272,0.0012157036163626801
273,0.0012830972930593198
274,0.0012197695501952892
275,0.0012087472442804139
276,0.0012769104688054452
277,0.0012638370833091847
278,0.0012351429425180042
279,0.001334200316984377
280,0.001225880814921919
281,0.0012183346426415831
282,0.0012205819265981317
283,0.001221728178907052
284,0.0014764740871991181
285,0.0013219818539278094
286,0.0012961384412713472
287,0.0012442074038031437
288,0.0011865261655299316
289,0.0012475878634254723
290,0.0012759463428828935
291,0.0012383769435540158
292,0.001177049408609398
293,0.001229371381351593
294,0.001225551551206314
295,0.0011980629666230064
296,0.0013203343571468213
297,0.0012046149463882012
298,0.001281186264719015
299,0.0011969016192001896
300,0.0012254367385076315
301,0.0012490829674100888
302,0.0012357481910735368
303,0.0012535479994429308
304,0.0012801831915331355
305,0.0012191404379290009
306,0.001232523309157358
307,0.0011939229251717305
308,0.001247894800628637
309,0.0012121899064880181
310,0.0012135020790940278
311,0.0012489096781254157
312,0.0012247053837478547
313,0.0011872157063377408
314,0.0011783935752146047
315,0.0012139090823407768
316,0.0012590543313024433
317,0.0012485697760445745
318,0.0012092443250095698
319,0.0013438620421182099
320,0.0012379864450554581
321,0.0013199423873255741
322,0.0012609324455142511
323,0.0012676407319674237
324,0.0012229958724928169
325,0.0012313804963442405
326,0.0012190305999785767
327,0.001422203021722324
328,0.0012193229770079558
329,0.001175344396736864
330,0.0012514327104505172
331,0.001219364691940518
332,0.0011819515318964562
333,0.001214698632202632
334,0.0012928115744851338
335,0.0011551812517319431
336,0.0012985028930997012
337,0.0012629521791449989
338,0.0012076483888425805
339,0.001181458153310641
340,0.0012841234931207355
341,0.0012300313624025803
