,variance
0,17.615023677746187
1,9.800780246731506
2,4.042830263871039
3,3.095501805855277
4,2.59250636935546
5,1.75637428189279
6,1.5014984979044623
7,1.3314942906493954
8,1.1076664261048312
9,0.8735697882879813
10,0.8365798048444701
11,0.7175569359369929
12,0.6745878324627682
13,0.6194109342817044
14,0.571870561175244
15,0.5316309803816769
16,0.43810593298191114
17,0.41270579400090546
18,0.38813790352000643
19,0.349078627111729
20,0.33135203797107193
21,0.3258849228825514
22,0.3008787497485597
23,0.27475312296010385
24,0.2621057739023787
25,0.24836565441028072
26,0.24247312257553583
27,0.22968525230282164
28,0.22321325863357233
29,0.21401923346279952
30,0.19722485855888502
31,0.19077922295658045
32,0.17953754900720031
33,0.1767935581832355
34,0.16523339875692059
35,0.16453418929269079
36,0.1578587215104126
37,0.15730762203676363
38,0.1532375989214317
39,0.14379030748885302
40,0.13901804035784457
41,0.13458259592137536
42,0.1324239808408869
43,0.1295148555363366
44,0.1271520474239237
45,0.12598741860201626
46,0.12398807514459344
47,0.12150026400123948
48,0.11698494824719899
49,0.11574781131655452
50,0.11388891247921797
51,0.1100400893057929
52,0.10961848678225536
53,0.10650834496718602
54,0.10265098187112609
55,0.10021698539969129
56,0.09907226498796795
57,0.09651343008123543
58,0.0947700085092074
59,0.08965807102233123
60,0.08799219733932122
61,0.08745060681364066
62,0.08634385983383439
63,0.08443745926449564
64,0.08084799840900307
65,0.08041899934876452
66,0.07764410821849448
67,0.07598935718943108
68,0.0742564532716218
69,0.07276570392822218
70,0.07180444521189751
71,0.07139946266435478
72,0.06982775714558295
73,0.06849385826297467
74,0.06682561548244904
75,0.06602620336628304
76,0.06520978808153746
77,0.06346671843887865
78,0.06316055956676725
79,0.06200271246361902
80,0.061301285457794646
81,0.06019813893043483
82,0.057995532066162536
83,0.05700678495760366
84,0.05669919276187929
85,0.05552076145484303
86,0.055182537679215146
87,0.05489803439147897
88,0.05439533549773211
89,0.05306837082389409
90,0.05269768226421999
91,0.0518894960677428
92,0.051311147159063535
93,0.050816058618943546
94,0.050439713301499066
95,0.04923309736651647
96,0.048669960305966146
97,0.04784036260007499
98,0.04751481302486175
99,0.0471007408152099
100,0.046217426161902615
101,0.04525273991103538
102,0.04443984937810472
103,0.04407503514425988
104,0.043553937286460294
105,0.043258558683928854
106,0.042369258716139654
107,0.04169049751489627
108,0.04151457576191145
109,0.04071009231859708
110,0.040364164848175225
111,0.039891905731687875
112,0.03938315924517306
113,0.03912937598197318
114,0.03897290814228441
115,0.0383690701131122
116,0.037473345803982476
117,0.03689117359164541
118,0.03676624579885041
119,0.03633104172402575
120,0.03582277427700469
121,0.03527352522902314
122,0.03491604539753331
123,0.03460165581561386
124,0.03413393616072149
125,0.033919789218004384
126,0.033574348377776675
127,0.033321354305864526
128,0.032918954960424684
129,0.032693455223638646
130,0.03243209153157818
131,0.03178829831701359
132,0.031579984779534546
133,0.031314541608763576
134,0.030888009489082137
135,0.03069058346594748
136,0.030566375460372185
137,0.030226246798367235
138,0.029770183866295204
139,0.029416974092716847
140,0.028952202782679237
141,0.028906790226086252
142,0.028560521218196994
143,0.02836453568841219
144,0.027961629919932247
145,0.02787726846924043
146,0.027752855230359412
147,0.027333609428988253
148,0.027082867859644102
149,0.026759143498710967
150,0.026592713562808328
151,0.02626973862818535
152,0.026004761649742573
153,0.025880373710851022
154,0.02544333606925216
155,0.025318347619789825
156,0.025084652429829348
157,0.024910025482276974
158,0.02478702116349366
159,0.024627380026677415
160,0.024306957556997473
161,0.02405786408478972
162,0.023960654925688378
163,0.023879208294354505
164,0.023610995283899244
165,0.023469316984171127
166,0.02340140768928355
167,0.02301985023766798
168,0.02294564264119719
169,0.022772515539181276
170,0.0226321826665162
171,0.02229117113278119
172,0.02205616585357139
173,0.021855016225677686
174,0.02172848411050139
175,0.021513511835365942
176,0.021391311378166366
177,0.021092849946916816
178,0.02094715577871317
179,0.020776669713993536
180,0.020701433366783602
181,0.020620858014563634
182,0.02041920832709425
183,0.020410357471538493
184,0.02033621902331153
185,0.020091610669194713
186,0.019889701026032477
187,0.019748404591045654
188,0.01955339326751202
189,0.019497056649647636
190,0.019462819429639764
191,0.019376667052988412
192,0.019142694564322403
193,0.018942737779584686
194,0.018792493980074865
195,0.018562709185282297
196,0.018485357030664916
197,0.01826227449332126
198,0.01813792690208924
199,0.01809890773155702
200,0.01795123839053349
201,0.017742552469807125
202,0.01762984174538591
203,0.01754830839036808
204,0.017382750463370948
205,0.017257087833297376
206,0.01710594129760487
207,0.017051579650211385
208,0.017017343068190367
209,0.016926793058107088
210,0.016802762598063178
211,0.016678874623775743
212,0.016506887872570798
213,0.016414762028898595
214,0.016250756480974883
215,0.016144991987780157
216,0.01588350137867265
217,0.015783900486742882
218,0.015622118092951907
219,0.015588214766604833
220,0.01531504128964755
221,0.015279245996575298
222,0.01519785188640063
223,0.015100883043846847
224,0.01504528972372524
225,0.014838855561181698
226,0.014822327471923833
227,0.014787016629348
228,0.014626917670654105
229,0.014514610802917416
230,0.014429415571918352
231,0.01440615249382574
232,0.01433577704032172
233,0.014237922654782346
234,0.014084603259865883
235,0.014014834827702967
236,0.013912797753020446
237,0.013806379581227558
238,0.013667984738245889
239,0.013647344431231332
240,0.013538684521893368
241,0.01349335243182712
242,0.013370204654824963
243,0.013313702926870463
244,0.013157300283638727
245,0.013095040743542383
246,0.013022218964395428
247,0.012934170324104956
248,0.012869189130019278
249,0.01276005687287114
250,0.01271086218766917
251,0.012647138056694141
252,0.012514199926113237
253,0.012477888183080758
254,0.012309252121550134
255,0.012273427677511434
256,0.012201745775518053
257,0.012087083559299579
258,0.011974438864699672
259,0.011922233271441325
260,0.011857882492058118
261,0.011823592429207946
262,0.011773221949343696
263,0.011658658682078988
264,0.0116073294306701
265,0.01146952818123641
266,0.011382333212369276
267,0.011328051707646582
268,0.011150754770305025
269,0.011121713740578945
270,0.011061116247450526
271,0.01100215303343142
272,0.010944648463718835
273,0.010880991010248623
274,0.010858051952532909
275,0.010798912125907188
276,0.010696449644495244
277,0.010597647739616899
278,0.010526012330348038
279,0.010451883401120894
280,0.010407090230783915
281,0.01034229133178019
282,0.010322628604707838
283,0.01027413944308556
284,0.010216003009449115
285,0.01015304874334876
286,0.010021010897295344
287,0.010013364524074222
288,0.009952366713271375
289,0.009901851852154364
290,0.009835347191449993
291,0.009812267670146306
292,0.009686047552492309
293,0.00967972931082622
294,0.00964072036489076
295,0.009500502691548035
296,0.009465731745902085
297,0.009363158190780126
298,0.009341292118595976
299,0.009319391423652483
300,0.009235535073089765
301,0.009211687221165847
302,0.009147979551346275
303,0.00908018187582855
304,0.008974352785713048
305,0.008966720668856653
306,0.008920638342863862
307,0.008888193811074037
308,0.008805822153938254
309,0.008781933586162288
310,0.008648749903484413
311,0.008625398764317452
312,0.008570510003524563
313,0.008453799595998476
314,0.008435756520237156
315,0.008375072824313578
316,0.008341660685630017
317,0.008267283573386129
318,0.008199044542371721
319,0.00813130069770122
320,0.008091820269180355
321,0.008064964940652317
322,0.008033238526798606
323,0.007901040942109857
324,0.007852184990845171
325,0.00780081867520073
326,0.00771106380821855
327,0.00767574654675638
328,0.007594995794654353
329,0.00757750301280587
330,0.007490834438308657
331,0.007412066483642723
332,0.007359011750779229
333,0.007321859377112678
334,0.007281638973935053
335,0.007258092947850537
336,0.007207051745744177
337,0.007139399026817664
338,0.007029437621578424
339,0.006974019004673975
340,0.00693561001493485
341,0.006891769896414152
